FID,the_geom,ID_order,ID,today,deviceid,simserial,coordinate,Y_coordina,X_coordina,_coordinat,_coordin_1,tree_speci,other,tree_healt,threat,threat_ele,threat_roa,threat_bui,threat_wat,threat_peo,other_thre,other_001,tree_site,tree_base,_submissio,_index,functional,function_1,function_2,other_002,distance_c,angle_bott,angle_top,circumfere,diameter,comment_st,stem_tree_,_id,small_big
dar_es_salaam_trees.29,POINT (39.26050833 -6.772656667),29,128,3/13/2020,3.58E+19,"8,93E+18",-6.772656666666667 39.260508333333334 8.5 5.0,-6.77265667,39.26050833,8.5,5,other,,healthy,building/structures water/sewage,0,0,1,1,0,,,public,Open soil,2020-03-13T16:19:48,77,,,,,,,,,,,,,small
dar_es_salaam_trees.30,POINT (39.26065 -6.775281667),30,129,3/11/2020,3.59E+19,"8,93E+18",-6.775281666666666 39.260650000000005 87.9 5.0,-6.77528167,39.26065,87.9,5,ashok,,healthy,building/structures water/sewage road,0,1,1,1,0,,,public,Open soil,2020-03-11T10:43:06,23,,,,,,,,,,,,,small
dar_es_salaam_trees.31,POINT (39.26085167 -6.77375),31,130,3/11/2020,3.53E+19,"8,93E+18",-6.77375 39.26085166666667 17.8 5.0,-6.77375,39.26085167,17.8,5,ashok,,healthy,electricity/wires,1,0,0,0,0,,,private,adjacent to a hard surface,2020-03-11T11:10:48,32,,,,,,,,,,,,,small
dar_es_salaam_trees.32,POINT (39.25494167 -6.778545),32,131,3/11/2020,3.54E+19,"8,93E+18",-6.778545000000001 39.25494166666667 18.4 4.8,-6.778545,39.25494167,18.4,4.8,ashok,,healthy,electricity/wires,1,0,0,0,0,,,private,Open soil,2020-03-11T11:39:59,50,,,,,,,,,,,,,small
dar_es_salaam_trees.33,POINT (39.25488667 -6.778595),33,132,3/11/2020,3.54E+19,"8,93E+18",-6.778594999999999 39.25488666666667 19.5 4.8,-6.778595,39.25488667,19.5,4.8,ashok,,healthy,electricity/wires,1,0,0,0,0,,,private,Open soil,2020-03-11T11:41:13,52,,,,,,,,,,,,,small
dar_es_salaam_trees.34,POINT (39.25495333 -6.778596667),34,133,3/11/2020,3.54E+19,"8,93E+18",-6.778596666666665 39.25495333333333 19.8 4.7,-6.77859667,39.25495333,19.8,4.7,ashok,,healthy,electricity/wires,1,0,0,0,0,,,private,Open soil,2020-03-11T11:42:12,54,,,,,,,,,,,,,small
dar_es_salaam_trees.35,POINT (39.26406 -6.774078333),35,134,3/13/2020,3.53E+19,"8,93E+18",-6.774078333333334 39.26406 23.4 3.3,-6.77407833,39.26406,23.4,3.3,ashok,,healthy,electricity/wires,1,0,0,0,0,,,public,Open soil,2020-03-13T10:22:59,59,,,,,,,,,,,,,small
dar_es_salaam_trees.36,POINT (39.26403 -6.774433333),36,135,3/13/2020,3.59E+19,"8,93E+18",-6.7744333333333335 39.264030000000005 14.9 5.0,-6.77443333,39.26403,14.9,5,ashok,,healthy,electricity/wires,1,0,0,0,0,,,public,Open soil,2020-03-13T10:46:25,66,,,,,,,,,,,,,small
dar_es_salaam_trees.37,POINT (39.256325 -6.777058333),37,136,3/13/2020,3.54E+19,"8,93E+18",-6.777058333333334 39.256325 27.6 4.9,-6.77705833,39.256325,27.6,4.9,avocado,,healthy,electricity/wires,1,0,0,0,0,,,public,Open soil,2020-03-13T09:52:38,52,,,,,,,,,,,,,small
dar_es_salaam_trees.38,POINT (39.26162167 -6.772708333),38,137,3/11/2020,3.53E+19,"8,93E+18",-6.772708333333332 39.26162166666666 4.9 5.0,-6.77270833,39.26162167,4.9,5,other,,healthy,electricity/wires,1,0,0,0,0,,,private,Open soil,2020-03-11T11:12:29,36,,,,,,,,,,,,,small
dar_es_salaam_trees.39,POINT (39.25393167 -6.777525),39,138,3/12/2020,3.54E+19,"8,93E+18",-6.777525000000001 39.253931666666666 37.4 4.9,-6.777525,39.25393167,37.4,4.9,other,,healthy,electricity/wires,1,0,0,0,0,,,public,Open soil,2020-03-12T10:09:50,23,,,,,,,,,,,,,small
dar_es_salaam_trees.40,POINT (39.25901412 -6.77030141),40,139,3/12/2020,3.54E+19,8925504410914534724f,-6.77030141 39.25901412 -21.0 5.0,-6.77030141,39.25901412,-21,5,other,,healthy,electricity/wires,1,0,0,0,0,,,private,Open soil,2020-03-13T06:51:02,43,,,,,,,,,,,,,small
dar_es_salaam_trees.41,POINT (39.25500167 -6.778695),41,140,3/11/2020,3.54E+19,"8,93E+18",-6.778695000000001 39.255001666666665 8.8 4.8,-6.778695,39.25500167,8.8,4.8,palm,,healthy,electricity/wires,1,0,0,0,0,,,public,Open soil,2020-03-11T11:39:29,49,,,,,,,,,,,,,small
dar_es_salaam_trees.42,POINT (39.25489667 -6.778433333),42,141,3/11/2020,3.54E+19,"8,93E+18",-6.778433333333334 39.25489666666667 18.1 4.9,-6.77843333,39.25489667,18.1,4.9,palm,,healthy,electricity/wires,1,0,0,0,0,,,private,Open soil,2020-03-11T11:40:38,51,,,,,,,,,,,,,small
dar_es_salaam_trees.43,POINT (39.25500333 -6.778586667),43,142,3/11/2020,3.54E+19,"8,93E+18",-6.7785866666666665 39.255003333333335 19.7 4.8,-6.77858667,39.25500333,19.7,4.8,palm,,healthy,electricity/wires,1,0,0,0,0,,,private,Open soil,2020-03-11T11:41:48,53,,,,,,,,,,,,,small
